drug	condition
DB01042	D009190
DB01042	D013577
DB01008	D007951
DB01008	D015470
DB00694	D007938
DB00694	D007951
DB00694	D015470
DB00694	D011289
DB00694	D009190
DB00694	D013577
DB00087	D007938
DB00087	D007951
DB00087	D015470
DB00087	D011289
DB00087	D009190
DB00087	D013577
DB00631	D007938
DB00631	D007951
DB00631	D015470
DB00631	D011289
DB00631	D009190
DB00631	D013577
DB01169	D007938
DB01169	D007951
DB01169	D015470
DB01169	D011289
DB01169	D009190
DB01169	D013577
DB00056	D007938
DB00056	D007951
DB00056	D015470
DB00056	D011289
DB00056	D009190
DB00056	D013577
DB01030	D008175
DB00878	D008171
DB00878	D008173
DB00878	D029424
DB01001	D008171
DB01001	D008173
DB01001	D029424
DB06292	D007674
DB06292	D051437
DB06292	D051436
DB06292	D006333
DB00958	D002289
DB09037	D008175
DB09037	D002289
DB00642	D008175
DB00642	D002289
DB00776	D000072716
DB00295	D000072716
DB00341	D012220
DB00341	D065631
DB00341	D006255
DB00852	D012220
DB00852	D065631
DB00852	D006255
DB01364	D012220
DB01364	D065631
DB01364	D006255
DB00112	D002277
DB00112	D006528
DB00398	D002277
DB00398	D006528
DB00635	D011471
DB00860	D011471
DB14631	D011471
DB14632	D011471
DB15566	D011471
DB01221	D003693
DB00811	D006506
DB00811	D006526
DB00811	D019698
DB00811	D015673
DB00811	D006505
DB00811	D006521
DB00811	D003866
DB00811	D003863
DB00811	D003865
DB00811	D003072
DB01276	D018149
DB00678	D006973
DB00678	D000075222
DB00999	D006973
DB00999	D000075222
DB00207	D008171
DB00207	D007239
DB00207	D000086382
DB00207	D011014
DB00207	D018352
DB00207	D011024
DB01611	D007239
DB01611	D000086382
DB01611	D011014
DB01611	D018352
DB01611	D011024
DB00441	D008175
DB06151	D012595
DB14080	D012595
DB14479	D012595
DB14480	D012595
DB06151	D045743
DB14080	D045743
DB14479	D045743
DB14480	D045743
DB14707	D015658
DB09037	D018358
DB01222	D003092
DB01222	D003093
DB01222	D014456
DB11760	D011471
DB00210	D000152
DB09096	D000152
DB01050	D001049
DB01050	D012891
DB01050	D020181
DB00295	D001049
DB00295	D012891
DB00295	D020181
DB00472	D003863
DB00472	D003866
DB00302	D004387
DB00302	D003286
DB00302	D011885
